Time(h),Connected UEs per minute
0.0205655526992287,49
0.0205655526992287,49
0.3290488431876606,48
0.6786632390745501,44
0.9460154241645244,44
1.3161953727506426,40
1.5424164524421593,37
1.8920308483290489,36
2.056555269922879,36
2.38560411311054,32
2.6735218508997427,29
3.0025706940874035,28
3.0848329048843186,30
3.3110539845758358,26
3.6606683804627247,23
4.0719794344473,23
4.5038560411311055,22
4.93573264781491,22
5.26478149100257,20
5.573264781491003,22
5.820051413881748,22
6.107969151670951,21
6.478149100257069,20
6.889460154241645,19
7.30077120822622,19
7.547557840616966,21
7.835475578406169,18
8.082262210796914,20
8.452442159383033,20
8.678663239074549,20
8.946015424164523,21
9.254498714652955,27
9.68637532133676,32
10.01542416452442,35
10.323907455012852,36
10.611825192802057,37
10.87917737789203,39
11.167095115681231,40
11.475578406169666,41
11.72236503856041,42
11.928020565552698,44
12.092544987146528,44
12.359897172236504,45
12.56555269922879,47
12.812339331619537,48
13.141388174807195,48
13.44987146529563,48
13.799485861182518,49
14.10796915167095,52
14.251928020565552,62
14.45758354755784,84
14.724935732647811,62
14.97172236503856,63
15.13624678663239,68
15.383033419023135,73
15.773778920308482,83
15.97943444730077,94
16.226221079691516,108
16.452442159383033,124
16.699228791773777,140
17.00771208226221,164
17.233933161953725,170
17.480719794344473,191
17.727506426735218,223
17.99485861182519,239
18.077120822622103,278
18.17994858611825,319
18.262210796915166,356
18.46786632390745,419
18.7146529562982,482
18.961439588688943,392
19.49614395886889,435
19.722365038560408,396
19.989717223650384,401
20.23650385604113,490
20.503856041131105,606
20.647814910025705,491
20.73007712082262,426
20.956298200514137,346
21.24421593830334,320
21.470437017994858,430
21.73778920308483,494
21.84061696658097,409
21.902313624678666,316
21.984575835475574,230
22.25192802056555,148
22.45758354755784,118
22.60154241645244,101
22.76606683804627,86
22.95115681233933,70
23.177377892030847,55
23.362467866323907,46
23.547557840616964,44
23.77377892030848,42
